31744580,https://www.yapo.cl/autos-usados/tation-wagon-marca-mazda-modelo-cx5-otto-2-0-aut-ano-2020/31744580,TATION WAGON Marca MAZDA Modelo CX5 OTTO 2.0 AUT Año 2020,,,Mazda,CX-05,,$15.000.000,15000000,2020,78'416,78416,Bencina
31746117,https://www.yapo.cl/autos-usados/furgon-renault-dokker-ano-2016/31746117,FURGON RENAULT DOKKER AÑO 2016,,,Renault,Dokker,,$3.900.000,3900000,2016,227'748,227748,Diesel
31815626,https://www.yapo.cl/autos-usados/great-wall-poer-plus-deluxe-4x4-at-2-0-2024/31815626,GREAT WALL POER PLUS DELUXE 4X4 AT 2.0 2024,,,Great Wall,POER,,$21.500.000,21500000,2024,62'557,62557,Diesel
31547466,https://www.yapo.cl/autos-usados/mazda-cx-5-gt-4x4-2-2-2016/31547466,Mazda Cx-5 Gt 4X4 2.2 2016,,,Mazda,CX-5,,$14.490.000 (Rebajado 3%),14490000,2016,106'000,106000,Diesel
31613899,https://www.yapo.cl/autos-usados/mitsubishi-outlander-2-0-at-4x2-2018/31613899,MITSUBISHI OUTLANDER 2.0 AT 4X2 2018,,,Mitsubishi,Outlander,,$10.500.000 (Rebajado 4%),10500000,2018,181'740,181740,Bencina
31673808,https://www.yapo.cl/autos-usados/ford-f-150-platinum-4x4-3-5-aut-2022/31673808,FORD F-150 PLATINUM 4X4 3.5 AUT 2022,,,Ford,F-150,,$36.900.000 (Rebajado 3%),36900000,2022,111'935,111935,Bencina
31687774,https://www.yapo.cl/autos-usados/suzuki-jimny-jlx-1-3-4x4-2012/31687774,SUZUKI JIMNY JLX 1.3 4X4 2012,,,Suzuki,Jimny,,$6.290.000,6290000,2012,150'864,150864,Bencina
31356289,https://www.yapo.cl/autos-usados/citroen-berlingo-2022/31356289,CITROEN BERLINGO 2022,,,Citroen,Berlingo,,$9.990.000 (Rebajado 9%),9990000,2022,160'167,160167,Diesel
31735299,https://www.yapo.cl/autos-usados/renault-express-2023/31735299,RENAULT EXPRESS 2023,,,Renault,Express,,$9.200.000,9200000,2023,55'000,55000,Diesel
31645062,https://www.yapo.cl/autos-usados/chevrolet-tracker-2024/31645062,CHEVROLET TRACKER 2024,,,Chevrolet,Tracker,,$11.990.000,11990000,2024,52'800,52800,Bencina
31581708,https://www.yapo.cl/autos-usados/camioneta-jmc-vigus-ano-2021-2-5-diesel-mt-4x2-full-equipo-ac/31581708,CAMIONETA JMC VIGUS AÑO 2021 2.5 DIESEL MT 4X2 FULL EQUIPO AC,,,JMC,Vigus,,$7.990.000 (Rebajado 9%),7990000,2021,89'226,89226,Diesel
31793040,https://www.yapo.cl/autos-usados/subaru-outback-2-5i-awd-aut-2008/31793040,Subaru Outback 2.5i AWD AUT 2008,,,Subaru,Outback,,$5.850.000 (Rebajado 14%),5850000,2008,130'000,130000,Bencina
31774480,https://www.yapo.cl/autos-usados/mg-zx-2023-zx-cvt-1-5-aut/31774480,MG Zx 2023 Zx Cvt 1.5 Aut,,,,ZX,,$9.990.000 (Rebajado 9%),9990000,2023,36'736,36736,Bencina
31664146,https://www.yapo.cl/autos-usados/volkswagen-virtus-2024/31664146,VOLKSWAGEN VIRTUS 2024,,,Volkswagen,Virtus,,$13.190.000 (Rebajado 7%),13190000,2024,23'800,23800,Bencina
31543573,https://www.yapo.cl/autos-usados/chevrolet-tracker-2024/31543573,CHEVROLET TRACKER 2024,,,Chevrolet,Tracker,,$11.990.000 (Rebajado 4%),11990000,2024,51'950,51950,Bencina
31481622,https://www.yapo.cl/autos-usados/chevrolet-tracker-2024/31481622,CHEVROLET TRACKER 2024,,,Chevrolet,Tracker,,$11.990.000 (Rebajado 4%),11990000,2024,40'739,40739,Bencina
31277207,https://www.yapo.cl/autos-usados/peugeot-landtrek-2023/31277207,PEUGEOT LANDTREK 2023,,,Peugeot,Landtrek,,$14.050.000 (Rebajado 10%),14050000,2023,127'067,127067,Diesel
31493664,https://www.yapo.cl/autos-usados/chevrolet/31493664,Chevrolet,,,Chevrolet,Equinox,,$10.250.000,10250000,2020,79'300,79300,Bencina
31686820,https://www.yapo.cl/autos-usados/hyundai-porter-2021/31686820,HYUNDAI PORTER 2021,,,Hyundai,Porter,,$13.400.000,13400000,2021,116'223,116223,Diesel
31538981,https://www.yapo.cl/autos-usados/volkswagen-virtus-2024/31538981,VOLKSWAGEN VIRTUS 2024,,,Volkswagen,Virtus,,$13.190.000 (Rebajado 9%),13190000,2024,20'043,20043,Bencina
31755943,https://www.yapo.cl/autos-usados/chevrolet-tracker-2024/31755943,CHEVROLET TRACKER 2024,,,Chevrolet,Tracker,,$11.990.000,11990000,2024,48'100,48100,Bencina
31758122,https://www.yapo.cl/autos-usados/suzuki-dzire-2023-dzire-gl-1-2/31758122,Suzuki Dzire 2023 Dzire Gl 1.2,,,Suzuki,Dzire,,$8.490.000 (Rebajado 6%),8490000,2023,62'348,62348,Bencina
31603886,https://www.yapo.cl/autos-usados/chevrolet-tracker-2024/31603886,CHEVROLET TRACKER 2024,,,Chevrolet,Tracker,,$11.990.000,11990000,2024,33'809,33809,Bencina
