modelo_filtro,brand,model,version,precio_desde_texto,precio_desde,precio_lista,bono_directo,bono_financiamiento,cotizar_url
MAZDA CX-3,MAZDA,MAZDA CX-30,CORE 2.0 2WD 6AT 7G,$23.390.000*,23390000,24090000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSACLAJ
MAZDA CX-3,MAZDA,MAZDA CX-5,CORE 2.0 2WD 6AT,$23.590.000*,23590000,24990000,400000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-5&id_version=KGTJLAC
MAZDA CX-3,MAZDA,MAZDA CX-30,CORE PLUS 2.0 2WD 6AT 7G,$25.190.000 *,25190000,25890000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSACLAM
MAZDA CX-3,MAZDA,MAZDA CX-5,CORE 2.0 AWD 6AT,$26.290.000*,26290000,27490000,500000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-5&id_version=KGTJLAA
MAZDA CX-3,MAZDA,MAZDA CX-5,CORE PLUS 2.0 AWD 6AT,$28.290.000*,28290000,29290000,300000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-5&id_version=KGTJLAC
MAZDA 3 SPORT,MAZDA,MAZDA 3 SPORT,ENTRY 2.0 7G 6MT,$18.890.000*,18890000,20890000,1000000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAB
MAZDA 3 SPORT,MAZDA,MAZDA CX-3,CORE 2.0 MT,$18.990.000*,18990000,19790000,100000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHBLAA
MAZDA 3 SPORT,MAZDA,MAZDA CX-3,CORE 2.0 6AT,$19.490.000*,19490000,20590000,400000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHCLAU
MAZDA 3 SPORT,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6MT,$21.390.000*,21390000,22590000,200000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAD
MAZDA 3 SPORT,MAZDA,MAZDA CX-30,ENTRY 2.0 2WD AT 7G,$22.290.000*,22290000,22990000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSACLAF
MAZDA 3 SPORT,MAZDA,MAZDA CX-30,CORE 2.0 2WD 6MT 7G,$22.690.000*,22690000,23390000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSABLAC
